record_type,evaluation,method,label_id,family,label_support,included_in_official_macro_f1,official_macro_label_count,official_macro_f1,diagnostic_rule,diagnostic_macro_label_count,diagnostic_macro_f1,delta_diagnostic_minus_official,status,reference_terminology
LABEL_SUPPORT,A1,,ACT_RECRUITMENT,Act,208,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,ACT_TRANSPORTATION,Act,165,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,ACT_TRANSFER,Act,98,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,ACT_HARBOURING,Act,122,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,ACT_RECEIPT,Act,71,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,MEANS_THREAT_FORCE_OR_COERCION,Means,133,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,MEANS_ABDUCTION,Means,23,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,MEANS_FRAUD,Means,61,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,MEANS_DECEPTION,Means,133,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,Means,154,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,Means,28,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,PURPOSE_SEXUAL_EXPLOITATION,Purpose,202,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,PURPOSE_FORCED_LABOUR_OR_SERVICES,Purpose,50,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,Purpose,13,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,PURPOSE_SERVITUDE,Purpose,14,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,PURPOSE_REMOVAL_OF_ORGANS,Purpose,2,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A1,,PURPOSE_OTHER,Purpose,13,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
