search_rank,canonical_url,jurisdiction,word_count,modernbert_token_count_with_special_tokens,tokenizer_model_id,tokenizer_revision,fully_covered_at_512,fully_covered_at_1024,fully_covered_at_1536,fully_covered_at_2048,fully_covered_at_3072,fully_covered_at_4096,fully_covered_at_8192
66,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/can/2018/r._v._alexis-mclymont_and_elgin_and_hird.html,Canada,343,405,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
67,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2018/landriel_daniel_y_otros_.html,Argentina,278,362,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
68,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/lux/2018/jugt_n_5342018_.html,Luxembourg,554,707,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
73,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2017/the_state_vs_eze.html,South Africa,6281,7351,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,0,0,0,0,1
75,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2017/r._v._robitaille.html,Canada,757,1035,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
77,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2017/reyes_v._al-malki_and_another.html,United Kingdom of Great Britain and Northern Ireland,168,223,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
79,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2017/case_a262014.html,South Africa,553,678,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
86,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/ner/2017/jugement_n_362016.html,Niger,585,794,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
88,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2017/figueroa_susana_antonia_y_otros_s_infraccion_ley_26.364._.html,Argentina,131,184,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
94,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2017/chowdury_and_others_v._greece.html,International and Regional Bodies,371,447,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
95,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2017/the_state_and_makhosini_mathews_fakudze.html,South Africa,986,1213,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
97,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/bih/2017/s1_2_k_024459_17_k_2017_-_lipovac_saa_case.html,Bosnia and Herzegovina,470,606,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
99,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2017/justino_horacio_abel_fernandez_castillo_celia_aurora_ledesma_ruben_lino_s_delito_c_la_libertad.html,Argentina,116,163,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
103,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nzl/2016/the_queen_v_faroz_ali_and_jafar_kurisi.html,New Zealand,831,1048,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
104,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2016/montoya_pedro_eduardo_y_otros_.html,Argentina,265,345,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
107,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2016/ibrahim_and_basma_giulani_v._the_state_of_israel.html,Israel,850,1013,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
108,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/n76111-31-07-003-2015-00076.html,Colombia,150,210,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
110,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/che/2016/bvge_201627.html,Switzerland,241,275,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
112,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/66001-62-00-000-2016-0001.html,Colombia,210,299,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
115,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/n11001-60-00-000-2015-02128.html,Colombia,475,541,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
119,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/process_n2014-00003.html,Colombia,120,151,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
121,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/76520-60-00-182-2013-00697.html,Colombia,212,270,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
123,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/n660001-62-66-001-2011-00021-00_ac-233-15.html,Colombia,156,184,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
127,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/grc/2016/affaire_l.e._c._grece.html,Greece,565,712,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
131,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2015/case_0915.html,Norway,99,119,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
133,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2015/s_v_lukas.html,Namibia,1842,2284,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,0,0,1,1,1
134,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2015/torrico_claros_y_vargas_ricaldez.html,Argentina,354,437,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
135,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swz/2015/king_vs._phatsakahle_mike_mndzebele.html,Eswatini,1129,1366,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
136,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2015/r._v._a.a.html,Canada,1362,1745,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,0,1,1,1,1
137,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dom/2015/caso_yokaira_hernandez.html,Dominican Republic,75,102,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
138,https://www.unodc.org/cld/case-law-doc/corruptioncrimetype/arg/2015/case_no._91017032.html,Argentina,1071,1360,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
139,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2015/case_0715.html,Norway,212,256,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
140,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2015/case_0715.html,United States of America,300,381,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
143,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2015/criminal_case_no._cbu-81592.html,Philippines,206,250,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
145,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mda/2015/chisinau_0615.html,Republic of Moldova,272,386,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
146,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mkd/2015/case_n280515.html,North Macedonia,85,102,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
150,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mng/2015/court_decision_no_441.html,Mongolia,72,91,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
153,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aus/2015/ram_v_dd_indian_fine_food_pty_ltd_anor.html,Australia,134,163,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
154,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2015/jezile_v._s_and_others_a_1272014_2015_zawchc.html,South Africa,132,162,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
155,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vnm/2015/case_0315.html,Viet Nam,361,455,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
156,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dom/2015/caso_alvarez_nunez_y_caba_ramos.html,Dominican Republic,317,402,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
157,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2015/the_state_of_israel_v._teddy_ness.html,Israel,248,291,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
160,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2015/case_0115.html,Norway,253,293,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
161,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2015/case_130125.html,Belgium,234,297,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
162,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2014/rami_saban_v._the_state_of_israel.html,Israel,201,249,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
163,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2014/police_col._dr._s.l.html,Thailand,857,1068,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
166,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2014/the_state_v_mabuza_and_chauke.html,South Africa,2283,2774,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,0,0,1,1,1
167,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dom/2014/caso_antonio_perez_y_cabral_flete.html,Dominican Republic,244,311,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
169,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tjk/2014/case_1014.html,Tajikistan,79,118,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
173,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mng/2014/case_no1138.html,Mongolia,37,50,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
174,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vnm/2014/case_0914.html,Viet Nam,272,358,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
175,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2014/r_v._moazami_2014_bcsc_1727_canlii.html,Canada,135,166,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
176,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2014/united_states_v._shamsud-din_580_fed.appx._468_7th_cir._2014.html,United States of America,307,386,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
177,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/calle_calle_et._al..html,Argentina,288,356,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
178,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/pol/2014/case_030914.html,Poland,229,277,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
179,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2014/case_n_210814.html,Belgium,302,363,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
181,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tjk/2014/case_0814.html,Tajikistan,69,89,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
182,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aze/2014/case_no._101-683-2014.html,Azerbaijan,462,607,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
183,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arm/2014/yekd00910114.html,Armenia,855,1090,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
184,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dom/2014/caso_xiomei_y_jose.html,Dominican Republic,269,367,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
186,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ita/2014/tribunale_di_palmi_n._reg._sent._n._22014.html,Italy,437,506,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
187,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tjk/2014/case_0614.html,Tajikistan,94,117,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
188,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tjk/2014/case_190614.html,Tajikistan,85,106,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
189,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fji/2014/state_v_raikadroka_-_judgment_2014_fjhc_402.html,Fiji,398,489,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
191,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arm/2014/markosyan.html,Armenia,343,457,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
192,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arm/2014/yekd01700113.html,Armenia,881,1219,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,0,1,1,1,1,1
193,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2014/col031-proceso_no._2009-00001.html,Colombia,417,556,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
194,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2014/r_v_burton.html,Canada,232,283,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
195,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/cardaci_y_mossolini.html,Argentina,457,588,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
196,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/sanfilippo_jose_et_al._.html,Argentina,229,327,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
197,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swz/2014/rex_versus_ifeoma_adigwe-dike_and_amechi_kenechukwu_dike_.html,Eswatini,330,397,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
199,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/srb/2014/k_12813.html,Serbia,557,639,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
200,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dnk/2014/case_n_160414.html,Denmark,252,298,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
202,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/pol/2014/nikolae_l_2014.html,Poland,336,415,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
203,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2014/case_0314.html,United States of America,170,220,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
205,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fin/2014/r_122045_and_r_121107.html,Finland,190,213,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
207,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/idn/2014/case_0314.html,Indonesia,79,109,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
208,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vnm/2014/case_0314.html,Viet Nam,274,388,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
209,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2014/philippines_v._jerome_montejo_et_al.html,Philippines,326,409,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
210,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vnm/2014/752014hspt.html,Viet Nam,399,510,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
211,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/pol/2014/case_250214.html,Poland,263,317,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
212,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2014/proceso_no._2013-00179.html,Colombia,292,356,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
213,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/srb/2014/k_33413.html,Serbia,387,437,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
214,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2014/philippines_v._jocelyn_ulanday_et_al.html,Philippines,109,140,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
215,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2014/philippines_v._annaliza_d._quebec_a.k.a._budang.html,Philippines,392,517,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
216,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2014/res_application_2014_niqb_15.html,United Kingdom of Great Britain and Northern Ireland,445,519,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
217,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/uzb/2014/uzbekistan_v_kuzenko.html,Uzbekistan,213,274,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
