method,evaluation,scope,metric,estimate,ci_lower,ci_upper,confidence_level,n_resamples,seed,bootstrap_method,macro_label_count,macro_label_ids,reference_terminology
M1,A2,POOLED_OOD_TEST,macro_f1,0.47984484500934504,0.46518742049402184,0.49705367807099615,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M1,A2,POOLED_OOD_TEST,micro_f1,0.7045454545454546,0.6959534718255133,0.714220738755209,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M1,A2,POOLED_OOD_TEST,exact_set_accuracy,0.0011614401858304297,0.0,0.003484320557491289,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M1,A2,POOLED_OOD_TEST,example_jaccard,0.545735149480794,0.5357331605676552,0.5575749473941983,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A2,POOLED_OOD_TEST,macro_f1,0.5274875865728823,0.5072156386823569,0.5469264064948371,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A2,POOLED_OOD_TEST,micro_f1,0.7058633500242287,0.6968745301443386,0.7153964602261891,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A2,POOLED_OOD_TEST,exact_set_accuracy,0.008130081300813009,0.003484320557491289,0.013966318234610892,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A2,POOLED_OOD_TEST,example_jaccard,0.5461753790151003,0.5358526500599671,0.5573382178216673,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M3,A2,POOLED_OOD_TEST,macro_f1,0.5722573707446506,0.5522657825730574,0.5901958176116461,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M3,A2,POOLED_OOD_TEST,micro_f1,0.7286043945018561,0.7184655620821303,0.7384946319380332,0.95,1000,20260811,case_resampling_percentile_linear,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
