method,scope,fold,jurisdiction,label_id,family,support,predicted_positive,true_positive,false_positive,false_negative,precision,recall,f1,status,included_in_macro_f1,reference_terminology
M1,POOLED_OOD_TEST,,,ACT_RECRUITMENT,ACT,712,861,712,149,0,0.826945412311266,1.0,0.905276541640178,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,ACT_TRANSPORTATION,ACT,597,861,597,264,0,0.6933797909407665,1.0,0.8189300411522634,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,ACT_TRANSFER,ACT,308,821,297,524,11,0.3617539585870889,0.9642857142857143,0.5261293179805138,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,ACT_HARBOURING,ACT,402,824,400,424,2,0.4854368932038835,0.9950248756218906,0.6525285481239804,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,ACT_RECEIPT,ACT,226,592,185,407,41,0.3125,0.8185840707964602,0.45232273838630804,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,MEANS_THREAT_FORCE_OR_COERCION,MEANS,469,845,461,384,8,0.5455621301775148,0.9829424307036247,0.7016742770167428,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,MEANS_ABDUCTION,MEANS,72,24,7,17,65,0.2916666666666667,0.09722222222222222,0.14583333333333334,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,MEANS_FRAUD,MEANS,225,305,76,229,149,0.24918032786885247,0.3377777777777778,0.28679245283018867,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,MEANS_DECEPTION,MEANS,470,852,469,383,1,0.5504694835680751,0.997872340425532,0.7095310136157338,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,564,857,563,294,1,0.6569428238039673,0.99822695035461,0.7923997185080929,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,87,25,4,21,83,0.16,0.04597701149425287,0.07142857142857142,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,720,852,720,132,0,0.8450704225352113,1.0,0.916030534351145,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,157,172,94,78,63,0.5465116279069767,0.5987261146496815,0.5714285714285714,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,37,4,1,3,36,0.25,0.02702702702702703,0.04878048780487805,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,PURPOSE_SERVITUDE,PURPOSE,44,7,2,5,42,0.2857142857142857,0.045454545454545456,0.0784313725490196,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,0,0,0,0,0,N/A,N/A,N/A,NO_REFERENCE_SUPPORT,0,SHERLOC Legacy Keywords silver reference
M1,POOLED_OOD_TEST,,,PURPOSE_OTHER,PURPOSE,30,2,0,2,30,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,ACT_RECRUITMENT,ACT,712,856,711,145,1,0.830607476635514,0.9985955056179775,0.9068877551020408,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,ACT_TRANSPORTATION,ACT,597,833,584,249,13,0.7010804321728692,0.9782244556113903,0.8167832167832167,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,ACT_TRANSFER,ACT,308,719,266,453,42,0.36995827538247567,0.8636363636363636,0.5180136319376826,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,ACT_HARBOURING,ACT,402,704,359,345,43,0.5099431818181818,0.8930348258706468,0.6491862567811935,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,ACT_RECEIPT,ACT,226,468,155,313,71,0.3311965811965812,0.6858407079646017,0.44668587896253603,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,MEANS_THREAT_FORCE_OR_COERCION,MEANS,469,689,377,312,92,0.5471698113207547,0.8038379530916845,0.6511226252158895,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,MEANS_ABDUCTION,MEANS,72,60,11,49,61,0.18333333333333332,0.1527777777777778,0.16666666666666666,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,MEANS_FRAUD,MEANS,225,328,98,230,127,0.29878048780487804,0.43555555555555553,0.35443037974683544,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,MEANS_DECEPTION,MEANS,470,742,434,308,36,0.5849056603773585,0.9234042553191489,0.7161716171617162,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,564,801,533,268,31,0.66541822721598,0.9450354609929078,0.780952380952381,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,87,70,8,62,79,0.11428571428571428,0.09195402298850575,0.10191082802547771,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,720,749,707,42,13,0.9439252336448598,0.9819444444444444,0.9625595643294759,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,157,152,103,49,54,0.6776315789473685,0.6560509554140127,0.6666666666666666,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,37,19,5,14,32,0.2631578947368421,0.13513513513513514,0.17857142857142858,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,PURPOSE_SERVITUDE,PURPOSE,44,27,11,16,33,0.4074074074074074,0.25,0.30985915492957744,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,0,0,0,0,0,N/A,N/A,N/A,NO_REFERENCE_SUPPORT,0,SHERLOC Legacy Keywords silver reference
M2,POOLED_OOD_TEST,,,PURPOSE_OTHER,PURPOSE,30,45,8,37,22,0.17777777777777778,0.26666666666666666,0.21333333333333335,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,POOLED_OOD_TEST,,,ACT_RECRUITMENT,ACT,712,700,623,77,89,0.89,0.875,0.8824362606232294,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,POOLED_OOD_TEST,,,ACT_TRANSPORTATION,ACT,597,649,518,131,79,0.7981510015408321,0.8676716917922948,0.8314606741573034,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
