label_id,family,support,m3_precision,m4_precision,delta_precision_m4_minus_m3,m3_recall,m4_recall,delta_recall_m4_minus_m3,m3_f1,m4_f1,delta_f1_m4_minus_m3,comparison,significance_claim
ACT_RECRUITMENT,ACT,208,0.8805970149253731,0.8769230769230769,-0.0036739380022962065,0.8509615384615384,0.8221153846153846,-0.028846153846153855,0.8655256723716381,0.8486352357320099,-0.016890436639628192,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
ACT_TRANSPORTATION,ACT,165,0.7475247524752475,0.7487179487179487,0.0011931962427012,0.9151515151515152,0.8848484848484849,-0.030303030303030276,0.8228882833787466,0.8111111111111111,-0.011777172267635527,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
ACT_TRANSFER,ACT,98,0.5409836065573771,0.5576923076923077,0.016708701134930615,0.336734693877551,0.29591836734693877,-0.040816326530612235,0.41509433962264153,0.38666666666666666,-0.02842767295597487,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
ACT_HARBOURING,ACT,122,0.6893939393939394,0.6974789915966386,0.008085052202699172,0.7459016393442623,0.680327868852459,-0.06557377049180335,0.7165354330708661,0.6887966804979253,-0.027738752572940784,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
ACT_RECEIPT,ACT,71,0.4594594594594595,0.5294117647058824,0.06995230524642287,0.4788732394366197,0.38028169014084506,-0.09859154929577463,0.4689655172413793,0.4426229508196721,-0.02634256642170718,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
MEANS_THREAT_FORCE_OR_COERCION,MEANS,133,0.6838709677419355,0.6933333333333334,0.009462365591397903,0.7969924812030075,0.7819548872180451,-0.015037593984962405,0.7361111111111112,0.734982332155477,-0.0011287789556341243,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
MEANS_ABDUCTION,MEANS,23,0.6,0.6363636363636364,0.036363636363636376,0.2608695652173913,0.30434782608695654,0.043478260869565244,0.36363636363636365,0.4117647058823529,0.048128342245989275,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
MEANS_FRAUD,MEANS,61,0.5,0.6666666666666666,0.16666666666666663,0.21311475409836064,0.22950819672131148,0.016393442622950838,0.2988505747126437,0.34146341463414637,0.042612839921502665,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
MEANS_DECEPTION,MEANS,133,0.7753623188405797,0.7734375,-0.0019248188405797118,0.8045112781954887,0.7443609022556391,-0.06015037593984962,0.7896678966789668,0.7586206896551724,-0.031047207023794376,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,154,0.8125,0.8468468468468469,0.03434684684684686,0.5909090909090909,0.6103896103896104,0.01948051948051943,0.6842105263157895,0.7094339622641509,0.025223435948361406,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,28,0.3404255319148936,0.2926829268292683,-0.047742605085625334,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.4266666666666667,0.34782608695652173,-0.07884057971014496,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,202,0.9897435897435898,0.9947916666666666,0.00504807692307685,0.9554455445544554,0.9455445544554455,-0.00990099009900991,0.9722921914357683,0.9695431472081218,-0.0027490442276464355,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,50,0.5737704918032787,0.7391304347826086,0.16535994297933,0.7,0.68,-0.019999999999999907,0.6306306306306306,0.7083333333333334,0.07770270270270274,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,13,0.09090909090909091,0.1111111111111111,0.020202020202020193,0.15384615384615385,0.15384615384615385,0.0,0.11428571428571428,0.12903225806451613,0.014746543778801843,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
PURPOSE_SERVITUDE,PURPOSE,14,0.25,0.3684210526315789,0.11842105263157893,0.2857142857142857,0.5,0.2142857142857143,0.26666666666666666,0.42424242424242425,0.1575757575757576,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
PURPOSE_OTHER,PURPOSE,13,0.4444444444444444,0.4444444444444444,0.0,0.6153846153846154,0.6153846153846154,0.0,0.5161290322580645,0.5161290322580645,0.0,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
